<frozen importlib._bootstrap>:488: RuntimeWarning: to-Python converter for pinocchio::python::DeprecatedBool already registered; second conversion method ignored.
Device: cuda
PyTorch: 2.11.0+cu128
加载数据...
  合并额外数据: 85 episodes
  合并合成训练数据: 80000 样本
  训练: 149979 样本 (164 episodes)
  验证: 7599 样本 (20 episodes)
  测试: 10011 样本 (21 episodes)
加载 FK 引擎...
模型参数: 217,164

训练 10000 epochs ... 目标: 关节角误差 < 0.1°
 Epoch | Train Loss |   Val Loss | Joint(°) | FK Pos(mm) | FK Ori(rad) | Time
    68 |   0.135687 |   0.001958 |    1.877 |     15.505 |     0.0433 | 0.8s
    69 |   0.135726 |   0.002126 |    1.980 |     16.151 |     0.0462 | 0.8s
    70 |   0.135610 |   0.002054 |    1.936 |     15.522 |     0.0456 | 0.8s
    71 |   0.135250 |   0.002157 |    1.944 |     14.745 |     0.0450 | 0.8s
    72 |   0.135389 |   0.001954 |    1.866 |     14.814 |     0.0447 | 0.8s
    73 |   0.135043 |   0.001992 |    1.881 |     15.166 |     0.0460 | 0.9s
    74 |   0.134890 |   0.002098 |    1.924 |     15.296 |     0.0475 | 0.8s
    75 |   0.134553 |   0.002009 |    1.898 |     15.054 |     0.0458 | 0.8s
    76 |   0.134883 |   0.002024 |    1.862 |     14.510 |     0.0455 | 0.8s
    77 |   0.134650 |   0.001852 |    1.803 |     14.150 |     0.0422 | 0.8s
    78 |   0.134344 |   0.002053 |    1.923 |     14.588 |     0.0469 | 0.8s
    79 |   0.134441 |   0.001973 |    1.841 |     14.408 |     0.0450 | 0.8s
    80 |   0.134101 |   0.001970 |    1.870 |     14.804 |     0.0452 | 0.8s
    81 |   0.133576 |   0.001897 |    1.819 |     14.607 |     0.0434 | 0.8s
    82 |   0.134201 |   0.001990 |    1.886 |     14.625 |     0.0457 | 0.8s
    83 |   0.133597 |   0.001916 |    1.852 |     14.789 |     0.0426 | 0.8s
    84 |   0.133978 |   0.001908 |    1.829 |     14.627 |     0.0438 | 0.8s
    85 |   0.133469 |   0.002001 |    1.914 |     14.733 |     0.0458 | 0.8s
    86 |   0.133034 |   0.001976 |    1.877 |     15.153 |     0.0452 | 0.8s
    87 |   0.133381 |   0.002026 |    1.921 |     15.190 |     0.0442 | 0.8s
    88 |   0.133237 |   0.002016 |    1.913 |     15.133 |     0.0466 | 0.8s
    89 |   0.133099 |   0.002022 |    1.858 |     14.982 |     0.0434 | 0.8s
    90 |   0.133241 |   0.001896 |    1.865 |     14.585 |     0.0440 | 0.8s
    91 |   0.132764 |   0.002064 |    1.916 |     15.691 |     0.0469 | 0.8s
    92 |   0.132329 |   0.002016 |    1.893 |     15.520 |     0.0454 | 0.8s
    93 |   0.132701 |   0.002035 |    1.921 |     15.015 |     0.0447 | 0.8s
    94 |   0.132516 |   0.001986 |    1.853 |     14.740 |     0.0454 | 0.8s
    95 |   0.132554 |   0.002082 |    1.919 |     14.613 |     0.0433 | 0.8s
    96 |   0.132269 |   0.002020 |    1.921 |     15.616 |     0.0465 | 0.8s
    97 |   0.132326 |   0.001956 |    1.875 |     15.025 |     0.0455 | 0.8s
    98 |   0.132553 |   0.001897 |    1.839 |     14.660 |     0.0439 | 0.8s
    99 |   0.131740 |   0.002149 |    1.993 |     16.069 |     0.0500 | 0.8s
   100 |   0.132305 |   0.002061 |    1.911 |     14.509 |     0.0457 | 0.8s
   101 |   0.130108 |   0.002017 |    1.888 |     14.561 |     0.0450 | 0.9s
   102 |   0.129869 |   0.001814 |    1.807 |     14.651 |     0.0439 | 0.9s
   103 |   0.129602 |   0.001924 |    1.868 |     14.557 |     0.0446 | 0.9s
   104 |   0.129635 |   0.001946 |    1.871 |     15.143 |     0.0449 | 0.8s
   105 |   0.129029 |   0.001953 |    1.898 |     15.269 |     0.0446 | 0.8s
   106 |   0.129355 |   0.002008 |    1.893 |     15.126 |     0.0444 | 0.8s
   107 |   0.129229 |   0.001928 |    1.850 |     14.808 |     0.0438 | 0.8s
   108 |   0.129085 |   0.001925 |    1.855 |     14.775 |     0.0450 | 0.8s
   109 |   0.128823 |   0.001871 |    1.811 |     14.223 |     0.0440 | 0.8s
   110 |   0.129184 |   0.001947 |    1.854 |     14.552 |     0.0430 | 0.8s
   111 |   0.128385 |   0.001875 |    1.829 |     14.818 |     0.0458 | 0.8s
   112 |   0.128897 |   0.001913 |    1.853 |     14.788 |     0.0452 | 0.8s
   113 |   0.128492 |   0.001900 |    1.858 |     14.670 |     0.0453 | 0.8s
   114 |   0.128499 |   0.001984 |    1.896 |     15.668 |     0.0455 | 0.8s
   115 |   0.128407 |   0.001936 |    1.862 |     15.026 |     0.0443 | 0.8s
   116 |   0.128630 |   0.001935 |    1.852 |     14.704 |     0.0436 | 0.8s
   117 |   0.128962 |   0.001884 |    1.840 |     14.638 |     0.0440 | 0.8s
   118 |   0.128637 |   0.001939 |    1.852 |     14.903 |     0.0436 | 0.8s
   119 |   0.128779 |   0.001894 |    1.837 |     14.557 |     0.0434 | 0.8s
   120 |   0.128637 |   0.001949 |    1.833 |     14.348 |     0.0438 | 0.8s
   121 |   0.128417 |   0.001961 |    1.872 |     14.151 |     0.0434 | 0.8s
   122 |   0.128687 |   0.002010 |    1.886 |     14.736 |     0.0451 | 0.8s
   123 |   0.128238 |   0.002013 |    1.889 |     14.141 |     0.0433 | 0.9s
   124 |   0.128416 |   0.001988 |    1.881 |     14.915 |     0.0443 | 0.8s
   125 |   0.127924 |   0.001933 |    1.846 |     14.472 |     0.0432 | 0.8s
   126 |   0.128296 |   0.001781 |    1.774 |     14.097 |     0.0418 | 0.8s
   127 |   0.128212 |   0.001983 |    1.875 |     14.297 |     0.0445 | 0.8s
   128 |   0.128189 |   0.001946 |    1.874 |     14.510 |     0.0447 | 0.8s
   129 |   0.128320 |   0.001902 |    1.846 |     14.250 |     0.0433 | 0.8s
   130 |   0.127848 |   0.001993 |    1.900 |     15.457 |     0.0452 | 0.8s
   131 |   0.127701 |   0.001898 |    1.863 |     14.929 |     0.0438 | 0.8s
   132 |   0.128285 |   0.002008 |    1.901 |     14.803 |     0.0449 | 0.8s
   133 |   0.127787 |   0.001876 |    1.826 |     14.150 |     0.0441 | 0.8s
   134 |   0.127539 |   0.002039 |    1.918 |     14.959 |     0.0457 | 0.8s
   135 |   0.127963 |   0.002074 |    1.903 |     14.836 |     0.0460 | 0.8s
   136 |   0.127858 |   0.002003 |    1.897 |     14.329 |     0.0444 | 0.8s
   137 |   0.127366 |   0.001991 |    1.877 |     14.508 |     0.0438 | 0.8s
   138 |   0.127542 |   0.002000 |    1.884 |     14.570 |     0.0445 | 0.8s
   139 |   0.127325 |   0.002025 |    1.898 |     14.860 |     0.0453 | 0.8s
   140 |   0.127581 |   0.001965 |    1.886 |     15.200 |     0.0448 | 0.8s
   141 |   0.127141 |   0.001984 |    1.879 |     15.036 |     0.0441 | 0.8s
   142 |   0.127231 |   0.001927 |    1.861 |     14.672 |     0.0446 | 0.8s
   143 |   0.127371 |   0.002040 |    1.919 |     15.111 |     0.0444 | 0.8s
   144 |   0.127767 |   0.001964 |    1.876 |     14.843 |     0.0457 | 0.8s
   145 |   0.127348 |   0.002008 |    1.888 |     14.854 |     0.0451 | 0.8s
   146 |   0.127118 |   0.001975 |    1.891 |     14.784 |     0.0435 | 0.8s
   147 |   0.127063 |   0.001985 |    1.904 |     14.992 |     0.0461 | 0.8s
   148 |   0.127731 |   0.001895 |    1.835 |     14.184 |     0.0432 | 0.8s
   149 |   0.127487 |   0.001919 |    1.853 |     14.753 |     0.0441 | 0.8s
   150 |   0.127133 |   0.002028 |    1.905 |     15.256 |     0.0460 | 0.8s
   151 |   0.126613 |   0.001893 |    1.857 |     14.732 |     0.0444 | 0.8s
   152 |   0.126215 |   0.001912 |    1.858 |     14.540 |     0.0437 | 0.8s
   153 |   0.126344 |   0.001897 |    1.828 |     14.187 |     0.0431 | 0.8s
   154 |   0.125878 |   0.001980 |    1.889 |     14.966 |     0.0443 | 0.8s
   155 |   0.125918 |   0.001946 |    1.868 |     14.441 |     0.0439 | 0.8s
   156 |   0.125836 |   0.002008 |    1.903 |     14.767 |     0.0450 | 0.8s
   157 |   0.125716 |   0.001981 |    1.879 |     14.654 |     0.0435 | 0.9s
   158 |   0.125728 |   0.001905 |    1.852 |     14.871 |     0.0444 | 0.8s
